@relation 'output-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lmerged-R2,3,4-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz_splacona:dobry,merged:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6-weka.filters.supervised.attribute.Discretize-R1,2,3,4,5,6,7,8,9-precision6-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {kobieta,mężczyzna}
@attribute 'miesieczny dochod netto' {'\'(-inf-544.255]\'','\'(544.255-inf)\''}
@attribute 'ktore rolowanie' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'okres w jakim pobieral dochod' {'\'(-inf-8.5]\'','\'(8.5-inf)\''}
@attribute 'okres w jakim bedzie pobieral dochod' {'\'(-inf-3.5]\'','\'(3.5-inf)\''}
@attribute 'status pozyczki' {dobry,zly}

@data
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(-inf-3.5]\'',zly
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(30.4-42.8]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',zly
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(-inf-3.5]\'',zly
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',zly
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',zly
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',zly
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(-inf-3.5]\'',zly
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(-inf-3.5]\'',zly
'\'(-inf-30.4]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(30.4-42.8]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(67.6-inf)\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(42.8-55.2]\'',mężczyzna,'\'(544.255-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'','\'(3.5-inf)\'',zly
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
'\'(55.2-67.6]\'',kobieta,'\'(544.255-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'','\'(3.5-inf)\'',dobry
